0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Timestamp
-5938.41015625,2041,128,2064,7,221,504,0,0,0,170,42,0,0,2,0,0,16,8,00:01:38.771010
-5938.34765625,2041,128,2064,7,221,504,0,0,0,170,42,0,0,2,0,0,16,8,00:01:38.790588
-5938.28515625,2041,128,2065,7,221,504,0,0,0,170,42,0,0,2,0,0,17,8,00:01:38.810166
-5938.22265625,2041,128,2065,7,221,504,0,0,0,170,42,0,0,2,0,0,17,8,00:01:38.829744
-5938.16015625,2041,128,2065,7,221,504,0,0,0,170,42,0,0,2,0,0,17,8,00:01:38.849322
-5938.09765625,2040,128,2065,7,221,504,0,0,0,170,42,0,0,2,0,0,17,8,00:01:38.868900
-5938.03515625,2042,128,2065,7,221,504,0,0,0,170,42,0,0,2,0,0,17,8,00:01:38.888478
-5937.59765625,2041,128,2064,7,221,504,0,0,0,170,42,0,0,2,0,0,16,8,00:01:38.908056
-5937.53515625,2041,128,2065,7,221,504,0,0,0,170,42,0,0,2,0,0,17,8,00:01:38.927634
-5937.47265625,2041,128,2065,7,221,505,0,0,0,170,42,0,0,2,0,0,17,8,00:01:38.947212
-5937.41015625,2042,128,2064,7,221,505,0,0,0,170,42,0,0,2,0,0,16,8,00:01:38.966790
-5937.34765625,2041,128,2064,7,221,505,0,0,0,170,42,0,0,2,0,0,16,8,00:01:38.986368
-5937.28515625,2040,128,2064,7,221,505,0,0,0,170,42,0,0,2,0,0,16,8,00:01:39.005946
-5937.22265625,2041,128,2065,7,221,505,0,0,0,170,42,0,0,2,0,0,17,8,00:01:39.025524
-5937.16015625,2040,128,2065,7,221,505,0,0,0,170,42,0,0,2,0,0,17,8,00:01:39.045102
-5937.09765625,2041,128,2065,7,221,505,0,0,0,170,42,0,0,2,0,0,17,8,00:01:39.064680
-5937.03515625,2041,128,2065,7,221,505,0,0,0,170,42,0,0,2,0,0,17,8,00:01:39.084258
-5936.59765625,2041,128,2064,7,221,505,0,0,0,170,42,0,0,2,0,0,16,8,00:01:39.103836
-5936.53515625,2040,128,2065,7,221,505,0,0,0,170,42,0,0,2,0,0,17,8,00:01:39.123414
-5936.47265625,2042,128,2065,7,221,506,0,0,0,170,42,0,0,2,0,0,17,8,00:01:39.142992
-5936.41015625,2040,128,2064,7,221,506,0,0,0,170,42,0,0,2,0,0,16,8,00:01:39.162570
-5936.34765625,2042,128,2064,7,221,506,0,0,0,170,42,0,0,2,0,0,16,8,00:01:39.182148
-5936.28515625,2041,128,2065,7,221,506,0,0,0,170,42,0,0,2,0,0,17,8,00:01:39.201726
-5936.22265625,2041,128,2064,7,221,506,0,0,0,170,42,0,0,2,0,0,16,8,00:01:39.221304
-5936.16015625,2041,128,2065,7,221,506,0,0,0,170,42,0,0,2,0,0,17,8,00:01:39.240882
-5936.09765625,2041,128,2065,7,221,506,0,0,0,170,42,0,0,2,0,0,17,8,00:01:39.260460
-5936.03515625,2041,128,2065,7,221,506,0,0,0,170,42,0,0,2,0,0,17,8,00:01:39.280038
-5929.59765625,2041,128,2064,7,221,506,0,0,0,170,42,0,0,2,0,0,16,8,00:01:39.299616
-5929.53515625,2041,128,2065,7,221,506,0,0,0,170,42,0,0,2,0,0,17,8,00:01:39.319194
-5929.47265625,2040,128,2065,7,221,507,0,0,0,170,42,0,0,2,0,0,17,8,00:01:39.338772
-5929.41015625,2041,128,2065,7,221,507,0,0,0,170,42,0,0,2,0,0,17,8,00:01:39.358350
-5929.34765625,2041,128,2064,7,221,507,0,0,0,170,42,0,0,2,0,0,16,8,00:01:39.377928
-5929.28515625,2041,128,2065,7,221,507,0,0,0,170,42,0,0,2,0,0,17,8,00:01:39.397506
-5929.22265625,2041,128,2065,7,221,507,0,0,0,170,42,0,0,2,0,0,17,8,00:01:39.417084
-5929.16015625,2041,128,2065,7,221,507,0,0,0,170,42,0,0,2,0,0,17,8,00:01:39.436662
-5929.09765625,2040,128,2064,7,221,507,0,0,0,170,42,0,0,2,0,0,16,8,00:01:39.456240
-5929.03515625,2041,128,2064,7,221,507,0,0,0,170,42,0,0,2,0,0,16,8,00:01:39.475818
-5928.59765625,2041,128,2065,7,221,507,0,0,0,170,42,0,0,2,0,0,17,8,00:01:39.495396
-5928.53515625,2041,128,2064,7,221,507,0,0,0,170,42,0,0,2,0,0,16,8,00:01:39.514974
-5928.47265625,2042,128,2065,7,221,508,0,0,0,170,42,0,0,2,0,0,17,8,00:01:39.534552
-5928.41015625,2041,128,2064,7,221,508,0,0,0,170,42,0,0,2,0,0,16,8,00:01:39.554130
