0,1,2,3,4,5,6,7,8,9,10,Timestamp
768.0703125,6144,55636,8208,55636,0,34816,55636,55636,59901,12912,00:05:12.079208
768.08984375,6144,55636,8208,55636,0,34816,55636,55636,59901,12912,00:05:12.130335
768.1328125,6144,55636,8208,55636,0,34816,55636,55636,59901,12912,00:05:12.181462
768.15234375,6144,55636,8208,55636,0,34816,55636,55636,59901,12912,00:05:12.232589
768.1953125,6152,55636,8208,55636,0,34816,55636,55636,59901,12912,00:05:12.283716
768.21484375,6152,55636,8208,55636,0,34816,55636,55636,59901,12912,00:05:12.334843
768.2578125,6152,55636,8208,55636,0,34816,55636,55636,59901,12912,00:05:12.385970
768.27734375,6152,55636,8208,55636,0,34816,55636,55636,59901,12912,00:05:12.437097
768.3203125,6152,55636,8208,55636,0,34816,55636,55636,59901,12912,00:05:12.488224
768.33984375,6152,55636,8208,55636,0,34816,55636,55636,59901,12912,00:05:12.539351
768.3828125,6152,55636,8208,55636,0,34816,55636,55636,59901,12912,00:05:12.590478
768.40234375,6152,55636,8208,55636,0,34816,55636,55636,59901,12912,00:05:12.641605
768.4453125,6152,55636,8208,55636,0,34816,55636,55636,59901,12912,00:05:12.692732
768.46484375,6152,55636,8208,55636,0,34816,55636,55636,59901,12912,00:05:12.743859
768.5078125,6152,55636,8208,55636,0,34816,55636,55636,59901,12912,00:05:12.794986
768.52734375,6152,55636,8208,55636,0,34816,55636,55636,59901,12912,00:05:12.846113
768.5703125,6152,55636,8208,55636,0,34816,55636,55636,57921,12887,00:05:12.897240
768.58984375,6152,55636,8208,55636,0,34816,55636,55636,57921,12887,00:05:12.948367
769.0078125,6152,55636,8208,55636,0,34816,55636,55636,57921,12887,00:05:12.999494
769.02734375,6152,55636,8208,55636,0,34816,55636,55636,57921,12887,00:05:13.050621
769.0703125,6152,55636,8208,55636,0,34816,55636,55636,57921,12887,00:05:13.101748
769.08984375,6152,55636,8208,55636,0,34816,55636,55636,57921,12887,00:05:13.152875
769.1328125,6152,55636,8208,55636,0,34816,55636,55636,57921,12887,00:05:13.204002
769.15234375,6152,55636,8208,55636,0,34816,55636,55636,57921,12887,00:05:13.255129
769.1953125,6152,55636,8208,55636,0,34816,55636,55636,57921,12887,00:05:13.306256
769.21484375,6152,55636,8208,55636,0,34816,55636,55636,57921,12887,00:05:13.357383
769.2578125,6152,55636,8208,55636,0,34816,55636,55636,57921,12887,00:05:13.408510
769.27734375,6152,55636,8208,55636,0,34816,55636,55636,57921,12887,00:05:13.459637
769.3203125,6152,55636,8208,55636,0,34816,55636,55636,57921,12887,00:05:13.510764
769.33984375,6152,55636,8208,55636,0,34816,55636,55636,57921,12887,00:05:13.561891
769.3828125,6152,55636,8208,55636,0,34816,55636,55636,57921,12887,00:05:13.613018
769.40234375,6152,55636,8208,55636,0,34816,55636,55636,57921,12887,00:05:13.664145
769.4453125,6152,55636,8208,55636,0,34816,55636,55636,57921,12887,00:05:13.715272
769.46484375,6152,55636,8208,55636,0,34816,55636,55636,57921,12887,00:05:13.766399
769.5078125,6152,55636,8208,55636,0,34816,55636,55636,57921,12887,00:05:13.817526
769.52734375,6152,55636,8208,55636,0,34816,55636,55636,57921,12887,00:05:13.868653
769.5703125,6152,55636,8208,55636,0,34816,55636,55636,57921,12887,00:05:13.919780
769.58984375,6152,55636,8208,55636,0,34816,55636,55636,0,0,00:05:13.970907
770.0078125,6152,55636,8208,55636,0,34816,55636,55636,0,0,00:05:14.022034
